Local time in Guelmim,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,,Tsi,Posi,Psi,Pasi,Usi,Ddsi,Ffsi,Nsi,Wwsi,W1si,W2si,Tnsi,Txsi,Clsi,Nhsi,His,Cmsi,Chsi,Vvsi,Tdsi,RRRsi,tRsi,Esi,Tgsi,E'si,ssssi
12/30/13 13:00,22,740.4,766.6,19,Wind blowing from the east-southeast,7,,,,No Significant Clouds,10.0 and more,-3,,14.1,760.7,766,,83,Wind blowing from the south,2,60%, ,,,13.5,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,11.2,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",8,,
12/30/13 14:00,23,740.4,766.6,17,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,-3,,15.2,762.2,767.5,1.5,81,Wind blowing from the south,1,no clouds, ,,,,,,,,,,6,12,,,,,,
12/30/13 15:00,23,739.7,765.8,13,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,-7,,17,763.2,768.4,1,70,Wind blowing from the west-northwest,3,no clouds, ,,,,,,,,,,6,11.4,,,,,,
12/30/13 16:00,23,739.7,765.8,10,Wind blowing from the south-southeast,3,,,,No Significant Clouds,10.0 and more,-10,,18.1,762.1,767.3,-1.1,71,Wind blowing from the west-northwest,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.7,,,,,,
12/30/13 17:00,22,739.6,765.8,10,Wind blowing from the south-southeast,4,,,,No Significant Clouds,10.0 and more,-11,,16.5,762.1,767.3,0,79,Wind blowing from the north-west,2,no clouds, ,,,,18.2,,,,,,6,12.9,,,,,,
12/30/13 18:00,20,740.2,766.6,12,Wind blowing from the south-west,4,,,,No Significant Clouds,10.0 and more,-10,,13.4,762.8,768.1,,81,Wind blowing from the east,2,no clouds, ,,,13.2,,,,,,,6,10.1,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9,,
12/31/13 6:00,8,742,769.6,25,Wind blowing from the east,6,,,,No Significant Clouds,10.0 and more,-11,,14.5,763.9,769.2,1.1,85,Wind blowing from the east,1,no clouds, ,,,,,,,,,,6,12,,,,,,
12/31/13 7:00,7,742.6,770.4,25,Wind blowing from the east,6,,,,No Significant Clouds,10.0 and more,-12,,16.4,764.6,769.8,0.7,80,Wind blowing from the west-northwest,2,no clouds, ,,,,,,,,,,6,12.9,,,,,,
12/31/13 8:00,7,742.6,770.4,23,Wind blowing from the east,7,,,,No Significant Clouds,10.0 and more,-13,,17,763.9,769.1,-0.7,79,Wind blowing from the west-northwest,2,no clouds, ,,,,,,,,,,6,13.4,,,,,,
12/31/13 9:00,9,742.8,770.4,21,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-12,,17.5,763.5,768.7,-0.4,76,Wind blowing from the north-west,1,no clouds, ,,,,18.8,,,,,,7,13.2,,,,,,
12/31/13 10:00,15,743.4,770.4,16,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-11,,14.6,763.1,768.4,,85,Wind blowing from the south-southwest,3,50%, ,,,14.4,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",,,
12/31/13 11:00,17,743.6,770.4,8,Wind blowing from the east-southeast,5,,,,No Significant Clouds,10.0 and more,-18,,15.3,763.5,768.8,0.4,77,Wind blowing from the south-west,3,no clouds, ,,,,,,,,,,6,11.3,,,,,,
12/31/13 12:00,18,742.9,769.6,6,Wind blowing from the south-southeast,5,,,,No Significant Clouds,10.0 and more,-20,,17.4,763.8,769,0.3,67,Wind blowing from the west-southwest,3,no clouds, ,,,,,,,,,,6,11.1,,,,,,
12/31/13 13:00,18,742.2,768.9,6,Wind blowing from the south-southeast,5,,,,No Significant Clouds,10.0 and more,-20,,17,763,768.2,-0.8,76,Wind blowing from the north-northwest,3,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.8,,,,,,
12/31/13 14:00,19,741.5,768.1,6,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,-19,,16.1,762.8,768,-0.2,80,Wind blowing from the north-northeast,3,"10%  or less, but not 0", ,,,,18,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.6,,,,,,
12/31/13 15:00,20,740.9,767.3,6,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,-19,,13,761.9,767.2,,80,Wind blowing from the west-southwest,1,no clouds, ,,,12.8,,,,,,,6,9.6,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",10,,
12/31/13 16:00,19,740.8,767.3,6,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,-19,,14,763.2,768.5,1.3,82,Wind blowing from the south-southwest,4,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,10.9,,,,,,
12/31/13 18:00,18,740.7,767.3,22,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,-4,,16.6,763.5,768.7,0.3,77,Wind blowing from the west,4,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,12.6,,,,,,
1/1/14 6:00,5,741,768.9,61,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,-2,,16.5,762.6,767.8,-0.9,77,Wind blowing from the north,5,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.5,,,,,,
1/1/14 7:00,5,741,768.9,61,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-2,,16,762.5,767.7,-0.1,79,Wind blowing from the north-northeast,3,60%, ,,,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.3,,,,,,
1/1/14 8:00,5,741,768.9,57,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-3,,15.2,760.9,766.1,,85,Wind blowing from the north-northeast,4,70 - 80%, ,,,15.2,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.6,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",14,,
1/1/14 9:00,10,741.5,768.9,47,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-1,,15.7,760.8,766,-0.1,83,Wind blowing from the north-northeast,5,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,12.8,,,,,,
1/1/14 10:00,13,741.8,768.9,38,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,-1,,16.1,760.8,766,0,82,Wind blowing from the north-northeast,4,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,13,,,,,,
1/1/14 11:00,16,742,768.9,27,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,-3,,17,759.9,765.1,-0.9,79,Wind blowing from the north-east,5,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6,13.4,,,,,,
1/1/14 12:00,17,741.4,768.1,19,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,-7,,16.3,759.6,764.8,-0.3,83,Wind blowing from the north-east,7,"90  or more, but not 100%", ,,,,17.6,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,7,13.4,,,,,,
1/1/14 13:00,18,740.7,767.3,16,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,-8,,14.9,759.2,764.4,,88,Wind blowing from the north-east,6,100%, ,,,14.9,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,12.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",10,,
1/1/14 15:00,20,740.2,766.6,17,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,-6,,14.9,760,765.2,0.8,90,Wind blowing from the north-northeast,5,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,13.2,,,,,,
1/1/14 16:00,19,740.1,766.6,19,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,-5,,15.9,759.6,764.8,-0.4,86,Wind blowing from the north-northeast,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,13.5,,,,,,
1/1/14 17:00,18,740,766.6,32,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,1,,16.8,758.3,763.5,-1.3,78,Wind blowing from the north-northeast,4,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13,,,,,,
1/1/14 18:00,16,739.8,766.6,48,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,5,,16.7,758.1,763.3,-0.2,77,Wind blowing from the north-northeast,2,"10%  or less, but not 0", ,,,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.7,,,,,,
1/2/14 7:00,5,740.2,768.1,76,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,1,,14.5,756.9,762.1,,90,Wind blowing from the west-northwest,2,100%,Mist. ,,,14.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,3,12.8,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
1/2/14 8:00,6,741.1,768.9,71,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,1,,14.8,757.4,762.6,0.5,91,Wind blowing from the north-west,1,"90  or more, but not 100%",Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,3.5,13.3,,,,,,
1/2/14 9:00,8,740.5,768.1,62,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,1,,16.6,757.2,762.4,-0.2,80,Wind blowing from the west-northwest,3,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.2,,,,,,
1/2/14 10:00,13,741.8,768.9,51,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,3,,16.7,756.8,762,-0.4,77,Wind blowing from the north-northwest,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.7,,,,,,
1/2/14 11:00,16,741.3,768.1,42,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,3,,16.4,756.6,761.8,-0.2,79,Wind blowing from the north-west,2,"10%  or less, but not 0", ,,,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,12.8,,,,,,
1/2/14 12:00,19,740.8,767.3,28,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,0,,12.5,755.9,761.2,,88,Wind blowing from the south,1,no clouds, ,,,12.4,,,,,,,6,10.5,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9,,
1/2/14 13:00,21,740.3,766.6,23,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,-1,,14.6,756.7,761.9,0.8,82,Wind blowing from the east-northeast,3,no clouds, ,,,,,,,,,,6,11.5,,,,,,
1/2/14 14:00,22,739.6,765.8,19,Wind blowing from the south-southwest,2,,,,No Significant Clouds,10.0 and more,-3,,16.7,756.3,761.5,-0.4,73,Wind blowing from the north-northwest,2,no clouds, ,,,,,,,,,,6,11.7,,,,,,
1/2/14 15:00,21,739.5,765.8,21,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,-2,,16.8,755.5,760.7,-0.8,78,Wind blowing from the north-west,3,no clouds, ,,,,,,,,,,6,13,,,,,,
1/2/14 16:00,21,739.5,765.8,25,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,0,,17.5,755.1,760.3,-0.4,71,Wind blowing from the west,2,no clouds, ,,,,17.7,,,,,,6,12.2,,,,,,
1/2/14 17:00,21,739.5,765.8,23,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,-1,,12.7,755,760.3,,96,Wind blowing from the south-southwest,3,60%,Mist. ,,,12.6,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3,12.1,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",7,,
1/2/14 18:00,18,740,766.6,34,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,2,,13.2,755.3,760.5,0.3,93,Wind blowing from the east,2,20-30%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20-30%,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3.5,12,,,,,,
1/3/14 6:00,7,741.2,768.9,57,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-1,,15.9,755.6,760.8,0.3,84,Wind blowing from the west,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5,13.2,,,,,,
1/3/14 7:00,7,741.9,769.6,57,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,-1,,17.4,754.5,759.7,-1.1,81,Wind blowing from the west,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14,,,,,,
1/3/14 8:00,7,742.6,770.4,53,Wind blowing from the east,5,,,,No Significant Clouds,10.0 and more,-2,,16.3,754.2,759.4,-0.3,84,Wind blowing from the north-northeast,3,20-30%, ,,,,17.7,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.6,,,,,,
1/3/14 9:00,11,743,770.4,44,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,-1,,13.3,754.5,759.7,,97,Wind blowing from the west-southwest,2,100%,Mist. ,,,13.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,1.2,12.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",11,,
1/3/14 10:00,16,742.7,769.6,34,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,0,,13.5,755.7,760.9,1.2,95,Wind blowing from the south,1,100%,Mist. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,2,12.7,,,,,,
1/3/14 11:00,19,743,769.6,26,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,-1,,15.1,755.7,760.9,0,87,Wind blowing from the west-southwest,4,70 - 80%,Mist. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3,12.9,,,,,,
1/3/14 12:00,21,742.5,768.9,25,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,0,,16.4,754.6,759.8,-1.1,81,Wind blowing from the north-west,2,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.1,,,,,,
1/3/14 13:00,23,741.1,767.3,20,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,-1,,16.1,754.4,759.6,-0.2,84,Wind blowing from the north-east,3,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,13.4,,,,,,
1/3/14 14:00,23,741.1,767.3,17,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,-3,,28.5,753.6,758.6,,16,Wind blowing from the east-southeast,6,40%, ,,,14.4,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,0.6,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",10,,
1/3/14 15:00,23,740.4,766.6,16,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,-4,,28.2,754.7,759.7,1.1,17,Wind blowing from the south-southeast,9,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,1.1,,,,,,
1/3/14 16:00,,,,,,,,,,,,,,29.4,755.6,760.6,0.9,16,Wind blowing from the south-east,6,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,1,,,,,,
1/3/14 17:00,22,741,767.3,25,Wind blowing from the west-northwest,7,,,,No Significant Clouds,10.0 and more,1,,30.5,753.3,758.2,-2.3,19,Wind blowing from the south-east,8,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,4.6,,,,,,
1/3/14 18:00,19,741.5,768.1,37,Wind blowing from the north,7,,,,No Significant Clouds,10.0 and more,4,,29,753.5,758.5,0.2,20,Wind blowing from the south-east,10,60%, ,,,,30.9,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,3.9,,,,,,
1/4/14 6:00,5,741.7,769.6,66,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,-1,,16.2,755.6,760.8,,91,Wind blowing from the west-southwest,4,60%, ,,,16,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14.8,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",11,,
1/4/14 7:00,6,742.5,770.4,61,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,-1,,16.4,756.7,761.9,1.1,89,Wind blowing from the west-southwest,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14.6,,,,,,
1/4/14 8:00,5,742.4,770.4,70,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,0,,17,756.9,762.1,0.2,86,Wind blowing from the west-southwest,4,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14.7,,,,,,
1/4/14 9:00,10,742.9,770.4,58,Wind blowing from the east,2,,,,Few clouds (10-30%) 480 m,10.0 and more,2,,17.1,755,760.2,-1.9,88,Wind blowing from the west,3,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",5,15,,,,,,
1/4/14 10:00,13,743.9,771.1,67,Wind blowing from the west-southwest,1,,,,Few clouds (10-30%) 480 m,10.0 and more,7,,17.1,754.8,760,-0.2,82,Wind blowing from the west,2,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,18.3,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6,13.9,,,,,,
1/4/14 11:00,14,744,771.1,72,Wind blowing from the west-northwest,3,,,,Few clouds (10-30%) 480 m,10.0 and more,9,,13.7,754.3,759.5,,91,Wind blowing from the south-southwest,1,no clouds, ,,,13.6,,,,,,,6,12.2,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",10,,
1/4/14 12:00,16,743.5,770.4,55,Wind blowing from the south-southwest,2,,,,Few clouds (10-30%) 480 m,10.0 and more,7,,15.5,755.2,760.4,0.9,88,Wind blowing from the west-southwest,3,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.5,,,,,,
1/4/14 13:00,18,742.2,768.9,52,Wind blowing from the west-southwest,1,,,,Few clouds (10-30%) 480 m,10.0 and more,8,,17.8,754.9,760.1,-0.3,74,Wind blowing from the west,4,50%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,13,,,,,,
1/4/14 14:00,20,741.6,768.1,40,Wind blowing from the west,3,,,,Few clouds (10-30%) 480 m,10.0 and more,6,,17.7,753.9,759.1,-1,75,Wind blowing from the north-west,2,50%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20-30%,300-600,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,13.2,,,,,,
1/4/14 15:00,21,740.9,767.3,40,Wind blowing from the north-northwest,5,,,,Few clouds (10-30%) 480 m,10.0 and more,7,,16.5,753.9,759.1,0,74,Wind blowing from the west,2,40%, ,,,,18,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,11.9,,,,,,
1/4/14 16:00,20,740.9,767.3,46,Wind blowing from the north,8,,,,Few clouds (10-30%) 480 m,10.0 and more,8,,13.4,754.5,759.7,,85,Wind blowing from the east,1,"10%  or less, but not 0", ,,,13.2,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,10.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",10,,
1/4/14 17:00,19,741.5,768.1,52,Wind blowing from the north,7,,,,"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m",10.0 and more,9,,15.5,754.9,760.1,0.4,77,Wind blowing from the west,1,60%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,11.4,,,,,,
1/4/14 18:00,17,741.4,768.1,59,Wind blowing from the north,4,,,,"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m",10.0 and more,9,,16.6,754.8,760,-0.1,73,Wind blowing from the west-northwest,2,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,11.6,,,,,,
1/5/14 6:00,8,740.5,768.1,87,Wind blowing from the east,4,,,,Broken clouds (60-90%) 480 m,8,6,,16.9,754.1,759.3,-0.7,72,Wind blowing from the north-northwest,4,40%, ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,11.7,,,,,,
1/5/14 7:00,9,740.6,768.1,82,Wind blowing from the east,3,,,,Broken clouds (60-90%) 480 m,10.0 and more,6,,16.6,754.2,759.4,0.1,76,Wind blowing from the north,3,40%, ,,,,17.3,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,12.4,,,,,,
1/5/14 8:00,9,740.6,768.1,82,Wind blowing from the east,3,,,,"Scattered clouds (40-50%) 180 m, broken clouds (60-90%) 480 m",8,6,,15.2,755.4,760.6,,90,Wind blowing from the north-northwest,1,70 - 80%, ,,,14.2,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.5,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",8,,
