Local time in Sidi Ifni,T,Po,P,Pa,U,DD,Ff,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
2014-07-01 09:00:00,20.8,756.3,761.4,0.0,78.0,Wind blowing from the west,2.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,16.8,,,,,,
2014-07-01 12:00:00,22.2,756.7,761.8,0.4,76.0,Wind blowing from the west,4.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.8,,,,,,
2014-07-01 15:00:00,22.1,757.6,762.7,0.9,77.0,Wind blowing from the north-northeast,4.0,no clouds, ,,,,,,,,,,6.0,17.9,,,,,,
2014-07-01 18:00:00,22.6,757.3,762.4,-0.3,66.0,Wind blowing from the north-east,5.0,"10%  or less, but not 0", ,,,,23.4,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,16.0,,,,,,
2014-07-02 06:00:00,18.5,758.4,763.6,,87.0,Wind blowing from the east-northeast,2.0,"90  or more, but not 100%", ,,,18.5,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6.0,16.3,,,,,,
2014-07-02 09:00:00,20.2,758.5,763.6,0.1,75.0,Wind blowing from the west-northwest,2.0,no clouds, ,,,,,,,,,,6.0,15.6,,,,,,
2014-07-02 12:00:00,21.0,758.4,763.5,-0.1,78.0,Wind blowing from the north-northeast,6.0,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6.0,16.9,,,,,,
2014-07-02 15:00:00,21.0,757.5,762.6,-0.9,73.0,Wind blowing from the north-northeast,6.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,16.0,,,,,,
2014-07-02 18:00:00,21.3,757.3,762.4,-0.2,71.0,Wind blowing from the north-northeast,3.0,"10%  or less, but not 0", ,,,,21.4,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,15.8,,,,,,
2014-07-03 06:00:00,18.1,756.6,761.8,,84.0,Wind blowing from the north,2.0,60%, ,,,18.0,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,15.3,,,,,,
2014-07-03 09:00:00,18.8,757.0,762.2,0.4,82.0,Wind blowing from the north-northwest,2.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,15.7,,,,,,
2014-07-03 12:00:00,20.6,757.4,762.5,0.4,75.0,Wind blowing from the west,3.0,no clouds, ,,,,,,,,,,8.0,15.9,,,,,,
2014-07-03 15:00:00,23.0,758.2,763.3,0.8,60.0,Wind blowing from the west-northwest,3.0,no clouds, ,,,,,,,,,,8.0,14.7,,,,,,
2014-07-03 18:00:00,21.9,758.3,763.4,0.1,67.0,Wind blowing from the north-northeast,3.0,no clouds, ,,,,23.1,,,,,,8.0,15.5,,,,,,
2014-07-04 06:00:00,18.0,757.5,762.7,,86.0,Wind blowing from the west-southwest,3.0,60%, ,,,18.0,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,15.6,,,,,,
2014-07-04 09:00:00,19.9,758.2,763.3,0.7,79.0,Wind blowing from the west,3.0,no clouds, ,,,,,,,,,,6.0,16.2,,,,,,
2014-07-04 12:00:00,21.3,759.0,764.1,0.8,74.0,Wind blowing from the west-southwest,4.0,no clouds, ,,,,,,,,,,6.0,16.5,,,,,,
2014-07-04 15:00:00,21.9,758.2,763.3,-0.8,72.0,Wind blowing from the north,2.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,16.6,,,,,,
2014-07-04 18:00:00,20.0,757.9,763.0,-0.3,83.0,Wind blowing from the north-northeast,4.0,70 - 80%, ,,,,22.4,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.0,,,,,,
2014-07-05 06:00:00,18.9,758.7,763.9,,86.0,Wind blowing from the south-west,2.0,100%, ,,,18.8,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5.0,16.5,,,,,,
2014-07-05 09:00:00,19.4,759.0,764.2,0.3,84.0,Wind blowing from the west-southwest,3.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5.0,16.7,,,,,,
2014-07-05 12:00:00,21.2,760.0,765.1,1.0,79.0,Wind blowing from the west,6.0,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5.0,17.4,,,,,,
2014-07-05 15:00:00,20.5,759.4,764.5,-0.6,80.0,Wind blowing from the north-east,4.0,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.0,,,,,,
2014-07-05 18:00:00,20.8,759.1,764.2,-0.3,79.0,Wind blowing from the north-northeast,5.0,20-30%, ,,,,21.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,17.0,,,,,,
2014-07-06 06:00:00,18.2,758.6,763.8,,93.0,Wind blowing from the west-southwest,1.0,100%, ,,,18.1,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,10.0,17.0,,,,,,
2014-07-06 09:00:00,19.5,759.2,764.4,0.6,77.0,Wind blowing from the north-northeast,4.0,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,10.0,15.4,,,,,,
2014-07-06 12:00:00,21.2,759.2,764.3,0.0,72.0,Wind blowing from the north-northeast,3.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,16.0,,,,,,
2014-07-06 15:00:00,21.6,758.5,763.6,-0.7,70.0,Wind blowing from the north,3.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,15.9,,,,,,
2014-07-06 18:00:00,21.7,758.4,763.5,-0.1,72.0,Wind blowing from the north-east,5.0,70 - 80%, ,,,,22.0,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,16.4,,,,,,
2014-07-07 06:00:00,18.5,757.8,763.0,,85.0,Wind blowing from the north-northeast,3.0,100%, ,,,18.4,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,15.9,,,,,,
2014-07-07 09:00:00,19.5,757.3,762.4,-0.5,80.0,Wind blowing from the north-northeast,5.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,15.9,,,,,,
2014-07-07 12:00:00,21.2,757.6,762.7,0.3,71.0,Wind blowing from the west-northwest,3.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,15.8,,,,,,
2014-07-07 15:00:00,22.5,756.7,761.8,-0.9,70.0,Wind blowing from the north-northwest,4.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,16.8,,,,,,
2014-07-07 18:00:00,20.9,756.4,761.5,-0.3,82.0,Wind blowing from the north-northeast,3.0,100%, ,,,,23.2,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8.0,17.6,,,,,,
2014-07-08 06:00:00,18.0,754.0,759.1,,88.0,Wind blowing from the south-west,4.0,"90  or more, but not 100%", ,,,17.9,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6.0,15.9,,,,,,
2014-07-08 09:00:00,19.6,754.3,759.4,0.3,80.0,Wind blowing from the north-west,2.0,no clouds, ,,,,,,,,,,6.0,16.1,,,,,,
2014-07-08 12:00:00,21.4,754.2,759.3,-0.1,79.0,Wind blowing from the west-southwest,4.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.5,,,,,,
2014-07-08 15:00:00,21.6,753.5,758.6,-0.7,77.0,Wind blowing from the west,2.0,no clouds, ,,,,,,,,,,6.0,17.4,,,,,,
2014-07-08 18:00:00,21.3,753.3,758.4,-0.2,81.0,Wind blowing from the west-northwest,2.0,no clouds, ,,,,23.0,,,,,,6.0,17.9,,,,,,
2014-07-09 06:00:00,18.5,754.3,759.4,,92.0,Wind blowing from the west-southwest,4.0,100%,Mist. ,,,18.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,3.0,17.1,,,,,,
2014-07-09 09:00:00,19.4,755.0,760.1,0.7,88.0,Wind blowing from the west-southwest,5.0,"90  or more, but not 100%",Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,4.0,17.4,,,,,,
2014-07-09 12:00:00,21.6,755.6,760.7,0.6,79.0,Wind blowing from the west-southwest,6.0,no clouds, ,,,,,,,,,,6.0,17.7,,,,,,
2014-07-09 15:00:00,22.1,755.4,760.5,-0.2,78.0,Wind blowing from the west-southwest,6.0,no clouds, ,,,,,,,,,,6.0,18.1,,,,,,
2014-07-09 18:00:00,21.5,755.2,760.3,-0.2,82.0,Wind blowing from the west-southwest,5.0,no clouds, ,,,,22.3,,,,,,6.0,18.3,,,,,,
2014-07-10 06:00:00,18.7,755.8,760.9,,90.0,Wind blowing from the west-southwest,3.0,100%, ,,,18.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5.0,17.1,,,,,,
2014-07-10 09:00:00,21.5,756.4,761.5,0.6,82.0,Wind blowing from the west-southwest,2.0,50%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,2000-2500,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.3,,,,,,
2014-07-10 12:00:00,21.8,757.0,762.1,0.6,80.0,Wind blowing from the west-northwest,3.0,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%",2000-2500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,18.2,,,,,,
2014-07-10 15:00:00,21.8,757.3,762.4,0.3,80.0,Wind blowing from the west-southwest,5.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.1,,,,,,
2014-07-10 18:00:00,20.0,757.8,762.9,0.5,88.0,Wind blowing from the west,2.0,100%, ,,,,22.9,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,18.0,,,,,,
2014-07-11 06:00:00,19.0,757.8,763.0,,93.0,Wind blowing from the west,2.0,100%, ,,,19.0,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,17.8,,,,,,
2014-07-11 09:00:00,20.0,758.7,763.8,0.9,91.0,Wind blowing from the west-southwest,2.0,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6.0,18.5,,,,,,
2014-07-11 12:00:00,22.5,758.7,763.8,0.0,80.0,Wind blowing from the west-northwest,3.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.8,,,,,,
2014-07-11 15:00:00,23.0,758.2,763.3,-0.5,76.0,Wind blowing from the west-northwest,2.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.5,,,,,,
2014-07-11 18:00:00,22.3,757.9,763.0,-0.3,78.0,Wind blowing from the west-northwest,2.0,20-30%, ,,,,23.2,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.3,,,,,,
2014-07-12 06:00:00,19.4,758.6,763.8,,87.0,Wind blowing from the north,2.0,100%, ,,,19.3,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%,300-600,,,6.0,17.1,,,,,,
2014-07-12 09:00:00,21.5,758.8,763.9,0.2,78.0,Wind blowing from the north,3.0,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,17.4,,,,,,
2014-07-12 12:00:00,22.4,758.8,763.9,0.0,74.0,Wind blowing from the north,4.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,17.5,,,,,,
2014-07-12 15:00:00,23.5,758.2,763.3,-0.6,71.0,Wind blowing from the north,4.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,18.0,,,,,,
2014-07-12 18:00:00,21.8,758.1,763.2,-0.1,77.0,Wind blowing from the north,4.0,"10%  or less, but not 0", ,,,,23.8,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,17.6,,,,,,
2014-07-13 06:00:00,20.3,758.3,763.4,,81.0,Wind blowing from the north,2.0,100%, ,,,20.0,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8.0,17.0,,,,,,
2014-07-13 09:00:00,20.9,758.6,763.7,0.3,84.0,Wind blowing from the north,3.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8.0,18.1,,,,,,
2014-07-13 12:00:00,22.0,758.6,763.7,0.0,79.0,Wind blowing from the north-northwest,3.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8.0,18.1,,,,,,
2014-07-13 15:00:00,22.2,758.3,763.4,-0.3,76.0,Wind blowing from the north-northeast,5.0,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,8.0,17.7,,,,,,
2014-07-13 18:00:00,20.5,757.4,762.5,-0.9,83.0,Wind blowing from the north-northeast,4.0,100%, ,,,,22.7,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8.0,17.5,,,,,,
2014-07-14 06:00:00,18.9,755.6,760.7,,95.0,Wind blowing from the west-southwest,4.0,100%, ,,,18.8,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,18.0,,,,,,
2014-07-14 09:00:00,20.0,756.2,761.3,0.6,88.0,Wind blowing from the west,3.0,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6.0,17.9,,,,,,
2014-07-14 12:00:00,20.5,756.3,761.4,0.1,85.0,Wind blowing from the west-northwest,4.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6.0,17.9,,,,,,
2014-07-14 15:00:00,20.7,755.9,761.0,-0.4,81.0,Wind blowing from the west-northwest,3.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5.0,17.4,,,,,,
2014-07-14 18:00:00,20.3,755.9,761.0,0.0,85.0,Wind blowing from the north-east,3.0,100%, ,,,,20.9,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,17.7,,,,,,
2014-07-15 06:00:00,19.5,754.3,759.4,,95.0,Wind blowing from the south-west,2.0,100%,Mist. ,,,19.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.5,18.7,,,,,,
2014-07-15 09:00:00,20.6,754.7,759.8,0.4,89.0,Wind blowing from the west,2.0,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.8,,,,,,
2014-07-15 12:00:00,22.5,754.8,759.9,0.1,80.0,Wind blowing from the west-southwest,4.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.8,,,,,,
2014-07-15 15:00:00,22.2,754.6,759.7,-0.2,81.0,Wind blowing from the west,5.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.7,,,,,,
2014-07-15 18:00:00,21.4,754.8,759.9,0.2,84.0,Wind blowing from the west-southwest,6.0,70 - 80%, ,,,,23.3,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5.0,18.5,,,,,,
2014-07-16 06:00:00,19.6,756.5,761.6,,95.0,Wind blowing from the west-southwest,4.0,100%, ,,,19.6,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5.0,18.8,,,,,,
2014-07-16 09:00:00,19.7,756.9,762.0,0.4,94.0,Wind blowing from the south-west,2.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6.0,18.7,,,,,,
2014-07-16 12:00:00,21.3,757.2,762.3,0.3,85.0,Wind blowing from the west,4.0,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6.0,18.6,,,,,,
2014-07-16 15:00:00,23.2,757.1,762.2,-0.1,75.0,Wind blowing from the west,2.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.4,,,,,,
2014-07-16 18:00:00,22.7,757.3,762.4,0.2,83.0,Wind blowing from the west,4.0,60%, ,,,,23.3,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,19.7,,,,,,
2014-07-17 06:00:00,19.7,757.7,762.8,,93.0,Wind blowing from the north-northeast,2.0,100%, ,,,19.7,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,18.5,,,,,,
2014-07-17 09:00:00,19.4,758.1,763.3,0.4,97.0,Wind blowing from the north-northeast,4.0,100%,Mist. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.0,18.9,,,,,,
2014-07-17 12:00:00,21.3,758.4,763.5,0.3,84.0,Wind blowing from the north,4.0,100%,Clouds generally dissolving or becoming less developed. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7.0,18.5,0.1,6.0,,,,
2014-07-17 15:00:00,22.2,758.0,763.1,-0.4,85.0,Wind blowing from the north,5.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7.0,19.5,,,,,,
2014-07-17 18:00:00,21.2,757.9,763.0,-0.1,85.0,Wind blowing from the north-northeast,5.0,100%, ,,,,22.7,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,18.6,0.1,12.0,,,,
2014-07-18 06:00:00,18.9,757.5,762.7,,98.0,Wind blowing from the north-northeast,2.0,100%,Mist. ,,,18.9,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.0,18.5,0.1,24.0,,,,
2014-07-18 09:00:00,19.2,757.8,763.0,0.3,97.0,Wind blowing from the north-northeast,2.0,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.0,18.7,,,,,,
2014-07-18 12:00:00,20.4,758.0,763.1,,96.0,Wind blowing from the north-northeast,3.0,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.5,19.7,,,,,,
2014-07-18 15:00:00,20.6,757.7,762.8,-0.3,87.0,Wind blowing from the north-northeast,4.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5.0,18.3,,,,,,
2014-07-18 18:00:00,21.4,757.6,762.7,-0.1,80.0,Wind blowing from the north-northeast,5.0,20-30%, ,,,,21.7,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,17.8,,,,,,
2014-07-19 06:00:00,19.0,756.7,761.8,,93.0,Wind blowing from the east,2.0,100%, ,,,19.0,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6.0,17.8,,,,,,
2014-07-19 09:00:00,19.8,757.3,762.4,0.6,88.0,Wind blowing from the west-southwest,3.0,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,17.8,,,,,,
2014-07-19 12:00:00,21.4,758.1,763.2,0.8,83.0,Wind blowing from the north-west,4.0,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.3,,,,,,
2014-07-19 15:00:00,22.0,757.6,762.7,-0.5,79.0,Wind blowing from the north-northeast,5.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.1,,,,,,
2014-07-19 18:00:00,21.5,757.6,762.7,0.0,82.0,Wind blowing from the north-east,5.0,no clouds, ,,,,22.5,,,,,,7.0,18.3,,,,,,
2014-07-20 06:00:00,19.1,758.2,763.4,,91.0,Wind blowing from the west,2.0,100%, ,,,19.0,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,17.6,,,,,,
2014-07-20 09:00:00,20.0,758.5,763.6,0.3,82.0,Wind blowing from the west,3.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,16.8,,,,,,
2014-07-20 12:00:00,21.5,758.3,763.4,-0.2,80.0,Wind blowing from the north-northwest,3.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.8,,,,,,
2014-07-20 15:00:00,22.3,758.2,763.3,-0.1,78.0,Wind blowing from the north-northeast,4.0,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,18.3,,,,,,
2014-07-20 18:00:00,22.5,758.2,763.3,0.0,80.0,Wind blowing from the north-northeast,4.0,20-30%, ,,,,22.7,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,18.8,,,,,,
2014-07-21 06:00:00,19.5,757.1,762.2,,87.0,Wind blowing from the south-west,4.0,100%, ,,,19.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,17.3,,,,,,
2014-07-21 09:00:00,20.2,757.6,762.7,0.5,84.0,Wind blowing from the west-southwest,3.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.4,,,,,,
2014-07-21 12:00:00,22.0,757.3,762.4,-0.3,81.0,Wind blowing from the north-northwest,4.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.5,,,,,,
2014-07-21 15:00:00,21.3,757.0,762.1,-0.3,84.0,Wind blowing from the north,3.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,18.4,,,,,,
2014-07-21 18:00:00,21.9,757.0,762.1,0.0,79.0,Wind blowing from the north-east,6.0,"10%  or less, but not 0", ,,,,22.2,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,18.0,,,,,,
